Q,Description,Link,A
TN Illam Thedi Kalvi Scheme,"To improve the standard of education both state and Central governments launch various kinds of schemes. Through these schemes, various facilities are provided by the government. Recently the Government of Tamil Nadu launched the Illam Thedi Kalvi Scheme. Through this scheme, education will be provided to the student in physical mode. This article will cover all the important information regarding Illam Thedi Kalvi Scheme 2024.",http://illamthedikalvi.tnschools.gov.in,"To improve the standard of education both state and Central governments launch various kinds of schemes. Through these schemes, various facilities are provided by the government. Recently the Government of Tamil Nadu launched the Illam Thedi Kalvi Scheme. Through this scheme, education will be provided to the student in physical mode. This article will cover all the important information regarding Illam Thedi Kalvi Scheme 2024..   http://illamthedikalvi.tnschools.gov.in"
Dr. Muthulakshmi Reddy Maternity Benefit Scheme,National Maternity Benefit Scheme was renamed as â€œDr. Muthulakshmi Reddy Maternity Benefit Schemeâ€. Under the scheme Rs. 1000/month for 6 months from 7th month pregnancy (3 months prior to delivery and 3 months after delivery) was disbursed to the poor pregnant women subject to the conditions in the G.O(Ms) No.,https://krishnagiri.nic.in,National Maternity Benefit Scheme was renamed as â€œDr. Muthulakshmi Reddy Maternity Benefit Schemeâ€. Under the scheme Rs. 1000/month for 6 months from 7th month pregnancy (3 months prior to delivery and 3 months after delivery) was disbursed to the poor pregnant women subject to the conditions in the G.O(Ms) No.  https://krishnagiri.nic.in
TNSAND,"TNSAND, an initiative in Tamil Nadu, regulates sand mining and distribution to curb illegal practices and promote environmental sustainability. Through an online portal, individuals can book sand while the government oversees pricing to prevent exploitation. Designated quarries ensure controlled extraction, maintaining quality and quantity standards. Environmental conservation measures are integral, addressing concerns about river ecosystems and local communities. Monitoring and enforcement activities aim to uphold regulations and deter unauthorized mining activities.",http://www.tnsand.in,"TNSAND, an initiative in Tamil Nadu, regulates sand mining and distribution to curb illegal practices and promote environmental sustainability. Through an online portal, individuals can book sand while the government oversees pricing to prevent exploitation. Designated quarries ensure controlled extraction, maintaining quality and quantity standards. Environmental conservation measures are integral, addressing concerns about river ecosystems and local communities. Monitoring and enforcement activities aim to uphold regulations and deter unauthorized mining activities..   http://www.tnsand.in"
Puthumai Penn Scheme,"The Government of TamilNadu has launched Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme to enhance the enrolment ratio of girls from Government schools to Higher Education Institutions. Through this scheme, the financial assistance of Rs. 1000/month will be provided to the girls till their completion of UG degree/Diploma/ITI/any other recognized course. The incentive amount under this scheme will be disbursed directly into the studentâ€™s Bank Account.",http://penkalvi.tn.gov.in,"The Government of TamilNadu has launched Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme to enhance the enrolment ratio of girls from Government schools to Higher Education Institutions. Through this scheme, the financial assistance of Rs. 1000/month will be provided to the girls till their completion of UG degree/Diploma/ITI/any other recognized course. The incentive amount under this scheme will be disbursed directly into the studentâ€™s Bank Account.   http://penkalvi.tn.gov.in"
Naan Mudhalvan Scheme,"Naan Mudhalvan platform aims to provide dynamic information for college students on courses and relevant information about industry specific skill offerings. This will enable the students of TamilNadu to get training in their chosen field of interest that will help them in achieving their career goals.The objective of this scheme is to identify potential training providers, to impart various skill trainings based on current industry gaps.Through this flagship program the students will be able to get trained and ensure they get jobs according to their skill sets. We will also offer career and academic guidance to students in state educational institutions.",http://naanmudhalvan.tn.gov.in,"Naan Mudhalvan platform aims to provide dynamic information for college students on courses and relevant information about industry specific skill offerings. This will enable the students of TamilNadu to get training in their chosen field of interest that will help them in achieving their career goals.The objective of this scheme is to identify potential training providers, to impart various skill trainings based on current industry gaps.Through this flagship program the students will be able to get trained and ensure they get jobs according to their skill sets. We will also offer career and academic guidance to students in state educational institutions..   http://naanmudhalvan.tn.gov.in"
Chief Minister’s Solar Rooftop Capital Incentive Scheme,"Chief Ministerâ€™s Solar Rooftop Capital Incentive Scheme is a capital subsidy scheme by the Tamil Nadu Government. In this scheme, a capital subsidy of â‚¹ 20,000 per kilowatt is provided for grid-connected domestic solar PV systems in addition to the 30% subsidy scheme* of the Ministry of New and Renewable Energy (MNRE) of the Government of India. For individual homes/flats, the solar system capacity shall be 1 kW. For the residential flats solar system capacities of 5 kW, 10 kW, and multiples thereof can be applied for common usage as a group application.(* limited to 30% of MNRE benchmark cost or 30% of the project cost, whichever is less)",https://govtschemes.in/tamil-nadu-chief-ministers-solar-rooftop-capital-incentive-scheme#gsc.tab=0,"Chief Ministerâ€™s Solar Rooftop Capital Incentive Scheme is a capital subsidy scheme by the Tamil Nadu Government. In this scheme, a capital subsidy of â‚¹ 20,000 per kilowatt is provided for grid-connected domestic solar PV systems in addition to the 30% subsidy scheme* of the Ministry of New and Renewable Energy (MNRE) of the Government of India. For individual homes/flats, the solar system capacity shall be 1 kW. For the residential flats solar system capacities of 5 kW, 10 kW, and multiples thereof can be applied for common usage as a group application.(* limited to 30% of MNRE benchmark cost or 30% of the project cost, whichever is less).  https://govtschemes.in/tamil-nadu-chief-ministers-solar-rooftop-capital-incentive-scheme#gsc.tab=0"
Makkalai Thedi Maruthuvam Scheme 2021,"The state government has just introduced the Makkalai Thedi Maruthuvam Scheme 2024, which would allow Tamil Nadu residents to access health services while they are at home. This program has covered over 1172 health sub-centers, 189 primary health centers, and security community health centers. All beneficiaries of the scheme who are unable to visit a primary health center, private health center, or government health center will receive door-to-door delivery of all medications and other health-related services. This will help lessen the spread of infectious diseases, and the patient will gain access to all the conventional medical resources.",https://pmmodiyojana.in/makkalai-thedi-maruthuvam-scheme,"The state government has just introduced the Makkalai Thedi Maruthuvam Scheme 2024, which would allow Tamil Nadu residents to access health services while they are at home. This program has covered over 1172 health sub-centers, 189 primary health centers, and security community health centers. All beneficiaries of the scheme who are unable to visit a primary health center, private health center, or government health center will receive door-to-door delivery of all medications and other health-related services. This will help lessen the spread of infectious diseases, and the patient will gain access to all the conventional medical resources.  https://pmmodiyojana.in/makkalai-thedi-maruthuvam-scheme   "
Nammai Kaakkum 48 Scheme 2021,"The ""Nammai Kaakkum 48 Scheme 2021"" is a welfare initiative launched in Tamil Nadu, India, focusing on the health and well-being of the state's citizens. It encompasses various measures aimed at improving healthcare accessibility, particularly for marginalized communities, by providing free medical treatment and services. The scheme also emphasizes preventive healthcare measures, including health camps and awareness programs, to address prevalent health issues effectively. Through partnerships with healthcare providers and government agencies, the scheme aims to ensure comprehensive healthcare coverage across the state, ultimately enhancing the quality of life for Tamil Nadu residents.",https://www.tnpscthervupettagam.com,"The ""Nammai Kaakkum 48 Scheme 2021"" is a welfare initiative launched in Tamil Nadu, India, focusing on the health and well-being of the state's citizens. It encompasses various measures aimed at improving healthcare accessibility, particularly for marginalized communities, by providing free medical treatment and services. The scheme also emphasizes preventive healthcare measures, including health camps and awareness programs, to address prevalent health issues effectively. Through partnerships with healthcare providers and government agencies, the scheme aims to ensure comprehensive healthcare coverage across the state, ultimately enhancing the quality of life for Tamil Nadu residents. https://www.tnpscthervupettagam.com "
E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme,"The ""E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughters of Poor Widows: Scheme-II"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The aim is to help poor widow mothers who face financial hardship in conducting their daughter's marriage. The scheme provides financial assistance â‚¹50,000/- along with one sovereign (8gm) 22-carat gold coin for making Thirumangalyam for the marriage of their daughters.",https://www.india.gov.in,"The ""E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughters of Poor Widows: Scheme-II"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The aim is to help poor widow mothers who face financial hardship in conducting their daughter's marriage. The scheme provides financial assistance â‚¹50,000/- along with one sovereign (8gm) 22-carat gold coin for making Thirumangalyam for the marriage of their daughters. https://www.india.gov.in"
Annai Theresa Ninaivu Marriage Assistance Scheme for Orphan Girls,"The 'Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme provides financial assistance to the orphan girls for their marriage. The bride should have completed 18 years of age at the time of marriage.",https://www.tn.gov.in,"The 'Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme provides financial assistance to the orphan girls for their marriage. The bride should have completed 18 years of age at the time of marriage.  https://www.tn.gov.in"
